countryUID,countryName
l1KFEXKI4Dg,Botswana
Qh4XMQJhbk8,Burundi
bQQJe0cC1eD,Cameroon
ds0ADyc9UCU,Cote d'Ivoire
ANN4YCOufcP,Democratic Republic of the Congo
V0qMZH29CtN,Eswatini
IH1kchw86uA,Ethiopia
JTypsdEUNPw,Haiti
HfVjCurKxh2,Kenya
qllxzIjjurr,Lesotho
lZsCb6y0KDX,Malawi
h11OyvlPxpJ,Mozambique
FFVkaV9Zk1S,Namibia
PqlFzhuPcF1,Nigeria
XtxUYCsDWrR,Rwanda
cDGPF739ZZr,South Africa
WLG0z5NxQs8,South Sudan
mdXu6iCbn2G,Tanzania
FETQ6OmnsKB,Uganda
ligZVIYs2rL,Ukraine
YM6xn5QxNpY,Vietnam
f5RoebaDLMx,Zambia
a71G4Gtcttv,Zimbabwe
